Date,Time,Project,Activity_Description,Count,Manpower,Total_Downloads
30/03/2026,12:22 PM,PVVNL,CMI through MI,477,692,1816
30/03/2026,12:22 PM,PVVNL,CMI through CI,522,692,1816
30/03/2026,12:22 PM,PVVNL,CI,214,692,1816
30/03/2026,12:22 PM,PVVNL,New service Connection,257,692,1816
30/03/2026,12:22 PM,PVVNL,O & M,58,692,1816
30/03/2026,12:22 PM,PVVNL,DT Survey,63,692,1816
30/03/2026,12:55 PM,PVVNL,CMI through MI,627,812,83
30/03/2026,12:55 PM,PVVNL,CMI through CI,709,812,83
30/03/2026,12:55 PM,PVVNL,CI,266,812,83
30/03/2026,12:55 PM,PVVNL,New service Connection,312,812,83
30/03/2026,12:55 PM,PVVNL,O & M,63,812,83
30/03/2026,12:55 PM,PVVNL,DT Survey,71,812,83
30/03/2026,12:56 PM,Polaris,Consumer 1 PH   3 PH OM,110,1082,1376
30/03/2026,12:56 PM,Polaris,Consumer Indexing CI,1791,1082,1376
30/03/2026,12:56 PM,Polaris,DTR Meter Installation,38,1082,1376
30/03/2026,12:56 PM,Polaris,DTR Survey,16,1082,1376
30/03/2026,12:56 PM,Polaris,Feeder Survey,3,1082,1376
30/03/2026,12:56 PM,Polaris,HSE Declaration Form,847,1082,1376
30/03/2026,12:56 PM,Polaris,Meter Installation MI,1236,1082,1376
30/03/2026,12:56 PM,Polaris,New service Connection,125,1082,1376
30/03/2026,12:56 PM,Polaris,Re-Allocation,1,1082,1376
30/03/2026,12:56 PM,Polaris,Screening,7,1082,1376
30/03/2026,12:58 PM,PVVNL,CMI through MI,640,824,83
30/03/2026,12:58 PM,PVVNL,CMI through CI,732,824,83
30/03/2026,12:58 PM,PVVNL,CI,271,824,83
30/03/2026,12:58 PM,PVVNL,New service Connection,318,824,83
30/03/2026,12:58 PM,PVVNL,O & M,63,824,83
30/03/2026,12:58 PM,PVVNL,DT Survey,71,824,83
30/03/2026,12:58 PM,DGVCL,DT Meter Installation,21,177,360
30/03/2026,12:58 PM,DGVCL,DT Survey,31,177,360
30/03/2026,12:58 PM,DGVCL,Merged CI MI,377,177,360
30/03/2026,12:58 PM,DGVCL,Meter Installation MI,94,177,360
30/03/2026,12:58 PM,DGVCL,New service Connection,208,177,360
30/03/2026,12:58 PM,DGVCL,O & M,25,177,360
30/03/2026,12:59 PM,Polaris,Consumer 1 PH   3 PH OM,110,1087,1379
30/03/2026,12:59 PM,Polaris,Consumer Indexing CI,1817,1087,1379
30/03/2026,12:59 PM,Polaris,DTR Meter Installation,39,1087,1379
30/03/2026,12:59 PM,Polaris,DTR Survey,16,1087,1379
30/03/2026,12:59 PM,Polaris,Feeder Survey,3,1087,1379
30/03/2026,12:59 PM,Polaris,HSE Declaration Form,852,1087,1379
30/03/2026,12:59 PM,Polaris,Meter Installation MI,1255,1087,1379
30/03/2026,12:59 PM,Polaris,New service Connection,128,1087,1379
30/03/2026,12:59 PM,Polaris,Re-Allocation,1,1087,1379
30/03/2026,12:59 PM,Polaris,Screening,7,1087,1379
30/03/2026,01:30 PM,Polaris,Consumer 1 PH   3 PH OM,134,1138,1400
30/03/2026,01:30 PM,Polaris,Consumer Indexing CI,2221,1138,1400
30/03/2026,01:30 PM,Polaris,DTR Meter Installation,44,1138,1400
30/03/2026,01:30 PM,Polaris,DTR Survey,18,1138,1400
30/03/2026,01:30 PM,Polaris,Feeder Meter Installation,1,1138,1400
30/03/2026,01:30 PM,Polaris,Feeder Survey,3,1138,1400
30/03/2026,01:30 PM,Polaris,HSE Declaration Form,877,1138,1400
30/03/2026,01:30 PM,Polaris,Meter Installation MI,1548,1138,1400
30/03/2026,01:30 PM,Polaris,New service Connection,154,1138,1400
30/03/2026,01:30 PM,Polaris,Re-Allocation,1,1138,1400
30/03/2026,01:30 PM,Polaris,Screening,9,1138,1400
30/03/2026,02:19 PM,PVVNL,CMI through MI,1057,1045,86
30/03/2026,02:19 PM,PVVNL,CMI through CI,1253,1045,86
30/03/2026,02:19 PM,PVVNL,CI,364,1045,86
30/03/2026,02:19 PM,PVVNL,New service Connection,445,1045,86
30/03/2026,02:19 PM,PVVNL,O & M,80,1045,86
30/03/2026,02:19 PM,PVVNL,DT Survey,104,1045,86
30/03/2026,02:19 PM,PVVNL,DT O&M,2,1045,86
30/03/2026,02:19 PM,MVVVNL,Consumer Indexing,1208,852,1180
30/03/2026,02:19 PM,MVVVNL,DT Meter Installation,6,852,1180
30/03/2026,02:19 PM,MVVVNL,DT O&M,8,852,1180
30/03/2026,02:19 PM,MVVVNL,DT Survey,47,852,1180
30/03/2026,02:19 PM,MVVVNL,Meter Installation,863,852,1180
30/03/2026,02:19 PM,MVVVNL,New service Connection,321,852,1180
30/03/2026,02:19 PM,MVVVNL,O & M,200,852,1180
30/03/2026,04:08 PM,MVVVNL,Consumer Indexing,1564,966,1216
30/03/2026,04:08 PM,MVVVNL,DT Meter Installation,20,966,1216
30/03/2026,04:08 PM,MVVVNL,DT O&M,15,966,1216
30/03/2026,04:08 PM,MVVVNL,DT Survey,65,966,1216
30/03/2026,04:08 PM,MVVVNL,Meter Installation,1490,966,1216
30/03/2026,04:08 PM,MVVVNL,New service Connection,427,966,1216
30/03/2026,04:08 PM,MVVVNL,O & M,337,966,1216
30/03/2026,04:08 PM,PVVNL,CMI through MI,1861,1239,88
30/03/2026,04:08 PM,PVVNL,CMI through CI,1937,1239,88
30/03/2026,04:08 PM,PVVNL,CI,388,1239,88
30/03/2026,04:08 PM,PVVNL,New service Connection,591,1239,88
30/03/2026,04:08 PM,PVVNL,O & M,104,1239,88
30/03/2026,04:08 PM,PVVNL,DT Survey,168,1239,88
30/03/2026,04:08 PM,PVVNL,DT O&M,2,1239,88
30/03/2026,04:56 PM,PVVNL,CMI through MI,2085,1297,2033
30/03/2026,04:56 PM,PVVNL,CMI through CI,2206,1297,2033
30/03/2026,04:56 PM,PVVNL,CI,392,1297,2033
30/03/2026,04:56 PM,PVVNL,New service Connection,658,1297,2033
30/03/2026,04:56 PM,PVVNL,O & M,118,1297,2033
30/03/2026,04:56 PM,PVVNL,DT Survey,174,1297,2033
30/03/2026,04:56 PM,PVVNL,DT O&M,4,1297,2033
30/03/2026,04:57 PM,MVVVNL,Consumer Indexing,1673,1015,1242
30/03/2026,04:57 PM,MVVVNL,DT Meter Installation,29,1015,1242
30/03/2026,04:57 PM,MVVVNL,DT O&M,17,1015,1242
30/03/2026,04:57 PM,MVVVNL,DT Survey,70,1015,1242
30/03/2026,04:57 PM,MVVVNL,Meter Installation,1814,1015,1242
30/03/2026,04:57 PM,MVVVNL,New service Connection,467,1015,1242
30/03/2026,04:57 PM,MVVVNL,O & M,397,1015,1242
30/03/2026,04:58 PM,MGVCL,New service Connection,291,314,475
30/03/2026,04:58 PM,MGVCL,Meter Installation,1145,314,475
30/03/2026,04:58 PM,MGVCL,Ticket Creation,7,314,475
